fold,target,n_train_labeled,n_val_labeled,MAE,RMSE,Pearson,Spearman,model_path
0,T_TAR_001,124,36,1.293452262878418,1.9544974565505981,0.5479369163513184,0.5693693693693693,results\models\T_TAR_001_fold0.model
0,T_TAR_002,124,36,1.2270700931549072,1.7888200283050537,0.5234735012054443,0.6306306306306307,results\models\T_TAR_002_fold0.model
0,T_TAR_003,124,36,0.9888648986816406,1.5774072408676147,0.48254847526550293,0.5935649935649936,results\models\T_TAR_003_fold0.model
0,T_TAR_004,124,36,1.3925931453704834,2.0527377128601074,0.45322421193122864,0.5042795557131253,results\models\T_TAR_004_fold0.model
0,T_TAR_005,124,36,1.8546267747879028,2.4230241775512695,0.3367535471916199,0.4622908622908623,results\models\T_TAR_005_fold0.model
1,T_TAR_001,127,33,1.5756810903549194,2.1738359928131104,0.45198139548301697,0.4899732620320856,results\models\T_TAR_001_fold1.model
1,T_TAR_002,127,33,1.187085747718811,1.7197380065917969,0.2890003025531769,0.29812834224598933,results\models\T_TAR_002_fold1.model
1,T_TAR_003,127,33,0.966557502746582,1.3031631708145142,0.3290969431400299,0.21724598930481284,results\models\T_TAR_003_fold1.model
1,T_TAR_004,127,33,1.3277642726898193,1.5852569341659546,0.5491443276405334,0.5518048128342247,results\models\T_TAR_004_fold1.model
1,T_TAR_005,127,33,1.4416048526763916,2.0086331367492676,0.5606684684753418,0.5053475935828877,results\models\T_TAR_005_fold1.model
2,T_TAR_001,132,28,1.2855956554412842,1.734494686126709,0.6223374605178833,0.47454844006568137,results\models\T_TAR_001_fold2.model
2,T_TAR_002,132,28,0.7330792546272278,1.1672413349151611,0.4238479435443878,0.4012041598248494,results\models\T_TAR_002_fold2.model
2,T_TAR_003,132,28,0.684332013130188,0.9580483436584473,0.29734885692596436,0.02079912424740011,results\models\T_TAR_003_fold2.model
2,T_TAR_004,132,28,1.0653252601623535,1.4206904172897339,0.6494768857955933,0.6628352490421456,results\models\T_TAR_004_fold2.model
2,T_TAR_005,132,28,0.9436095356941223,1.2297208309173584,0.6043946743011475,0.06568144499178982,results\models\T_TAR_005_fold2.model
3,T_TAR_001,129,31,2.2512295246124268,3.0777716636657715,0.3069991171360016,0.4327049119681341,results\models\T_TAR_001_fold3.model
3,T_TAR_002,129,31,1.7846132516860962,2.5924031734466553,0.10847753286361694,0.12178647102924182,results\models\T_TAR_002_fold3.model
3,T_TAR_003,129,31,1.3908954858779907,1.9998775720596313,0.06764126569032669,0.14053836143606221,results\models\T_TAR_003_fold3.model
3,T_TAR_004,129,31,1.2605544328689575,1.6554441452026367,0.7057052850723267,0.5983870967741935,results\models\T_TAR_004_fold3.model
3,T_TAR_005,129,31,2.1672303676605225,3.1051549911499023,0.3171968460083008,0.3812884382720138,results\models\T_TAR_005_fold3.model
4,T_TAR_001,128,32,1.3964738845825195,1.9193294048309326,0.5928575992584229,0.49560117302052775,results\models\T_TAR_001_fold4.model
4,T_TAR_002,128,32,1.2475154399871826,2.0246384143829346,0.233237162232399,0.3310117302052786,results\models\T_TAR_002_fold4.model
4,T_TAR_003,128,32,1.191755771636963,1.7366052865982056,0.4554542899131775,0.5139296187683284,results\models\T_TAR_003_fold4.model
4,T_TAR_004,128,32,1.40171217918396,1.8669224977493286,0.5479810237884521,0.5439882697947214,results\models\T_TAR_004_fold4.model
4,T_TAR_005,128,32,1.4859845638275146,2.3194870948791504,0.1548645943403244,0.31268328445747795,results\models\T_TAR_005_fold4.model
